func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.764000,0.504673
2,256,1,10,15,1.651000,6.648794
1,256,2,10,15,1.908000,0.620864
2,256,2,10,15,1.718000,9.254554
1,256,3,10,15,2.218000,0.844065
2,256,3,10,15,1.727000,5.250590
1,256,4,10,15,2.197000,1.053124
2,256,4,10,15,1.754000,7.209651
1,256,5,10,15,2.189000,1.440874
2,256,5,10,15,1.726000,4.182418
1,256,6,10,15,2.185000,1.609708
2,256,6,10,15,1.726000,5.333716
1,256,1,10,150,2.175000,0.504022
2,256,1,10,150,1.736000,6.679605
1,256,2,10,150,2.190000,2.543242
2,256,2,10,150,2.281000,49.132657
1,256,3,10,150,2.193000,0.846479
2,256,3,10,150,1.769000,5.554009
1,256,4,10,150,2.195000,4.196069
2,256,4,10,150,2.297000,34.650270
1,256,5,10,150,2.187000,1.439647
2,256,5,10,150,1.732000,4.736867
1,256,6,10,150,2.177000,3.184477
2,256,6,10,150,2.326000,17.982730
1,256,1,10,1500,2.215000,0.503963
2,256,1,10,1500,1.739000,6.621216
1,256,2,10,1500,2.185000,12.902489
2,256,2,10,1500,2.310000,160.385094
1,256,3,10,1500,2.197000,0.845053
2,256,3,10,1500,1.747000,5.399252
1,256,4,10,1500,2.258000,22.512874
2,256,4,10,1500,2.534000,123.957524
1,256,5,10,1500,2.261000,1.438224
2,256,5,10,1500,1.751000,4.131189
1,256,6,10,1500,2.203000,10.145848
2,256,6,10,1500,2.272000,67.855652
1,256,1,100,15,2.214000,7.160622
2,256,1,100,15,2.283000,198.535840
1,256,2,100,15,2.174000,2.341625
2,256,2,100,15,2.270000,53.014498
1,256,3,100,15,2.186000,6.136247
2,256,3,100,15,2.285000,88.236481
1,256,4,100,15,2.197000,1.995052
2,256,4,100,15,2.480000,22.005433
1,256,5,100,15,2.352000,5.130879
2,256,5,100,15,2.407000,28.782733
1,256,6,100,15,2.332000,2.967111
2,256,6,100,15,2.377000,16.885327
1,256,1,100,150,2.198000,7.436454
2,256,1,100,150,2.285000,208.194555
1,256,2,100,150,2.216000,9.983845
2,256,2,100,150,2.337000,261.394632
1,256,3,100,150,2.177000,6.257578
2,256,3,100,150,2.334000,110.846532
1,256,4,100,150,2.227000,7.714497
2,256,4,100,150,2.300000,130.303889
1,256,5,100,150,2.222000,5.125653
