func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.134000,0.519428
2,256,1,10,15,0.686000,1.367211
1,256,2,10,15,1.135000,0.628086
2,256,2,10,15,1.078000,1.631247
1,256,3,10,15,1.039000,1.017060
2,256,3,10,15,0.684000,2.013723
1,256,4,10,15,1.032000,1.232596
2,256,4,10,15,0.689000,2.019739
1,256,5,10,15,1.004000,2.010201
2,256,5,10,15,0.684000,2.827791
1,256,6,10,15,1.005000,2.417539
2,256,6,10,15,0.712000,2.920987
1,256,2,10,150,1.005000,0.798964
2,256,2,10,150,1.306000,2.020859
1,256,4,10,150,1.004000,1.590237
2,256,4,10,150,1.322000,2.288698
1,256,6,10,150,1.001000,3.011453
2,256,6,10,150,1.305000,4.076640
1,256,2,10,1500,1.037000,0.837155
2,256,2,10,1500,1.282000,1.951334
1,256,4,10,1500,1.005000,1.680897
2,256,4,10,1500,1.299000,1.088366
1,256,6,10,1500,1.006000,3.123364
2,256,6,10,1500,1.383000,2.466448
1,256,1,100,15,1.269000,1.448816
2,256,1,100,15,1.405000,1.944206
1,256,2,100,15,1.078000,1.000942
2,256,2,100,15,1.316000,1.655771
1,256,3,100,15,1.030000,2.913536
2,256,3,100,15,1.304000,3.697341
1,256,4,100,15,1.005000,1.991870
2,256,4,100,15,1.331000,2.599773
1,256,5,100,15,1.007000,5.535832
2,256,5,100,15,1.313000,2.909064
1,256,6,100,15,1.006000,3.837426
2,256,6,100,15,1.342000,4.036268
1,256,2,100,150,1.413000,1.543642
2,256,2,100,150,1.636000,2.029514
1,256,4,100,150,1.605000,2.996746
2,256,4,100,150,1.616000,2.418516
1,256,6,100,150,1.637000,5.860044
2,256,6,100,150,1.613000,4.723791
1,256,2,100,1500,1.631000,1.441982
2,256,2,100,1500,1.622000,0.039480
1,256,4,100,1500,1.592000,2.903585
2,256,4,100,1500,1.635000,0.000532
1,256,6,100,1500,1.584000,6.191828
2,256,6,100,1500,1.520000,0.007863
1,256,1,1000,15,1.004000,1.336436
2,256,1,1000,15,1.288000,0.000000
1,256,2,1000,15,1.004000,0.960594
2,256,2,1000,15,1.333000,0.870083
1,256,3,1000,15,1.006000,2.199958
2,256,3,1000,15,1.296000,0.000000
1,256,4,1000,15,1.022000,1.899801
2,256,4,1000,15,1.291000,0.829831
1,256,5,1000,15,1.004000,6.203548
2,256,5,1000,15,1.296000,1.052804
1,256,6,1000,15,1.043000,3.853100
2,256,6,1000,15,1.295000,8.863365
1,256,2,1000,150,1.007000,1.857075
2,256,2,1000,150,1.303000,2.155545
1,256,4,1000,150,1.564000,3.241734
2,256,4,1000,150,1.591000,0.002005
1,256,6,1000,150,1.158000,7.076376
2,256,6,1000,150,1.315000,0.000054
1,256,2,1000,1500,1.369000,1.213332
2,256,2,1000,1500,1.529000,0.019656
1,256,4,1000,1500,1.139000,2.870992
2,256,4,1000,1500,1.407000,0.000000
1,256,6,1000,1500,1.044000,6.497305
2,256,6,1000,1500,1.518000,0.000000
1,512,1,10,15,2.341000,0.517913
2,512,1,10,15,1.369000,1.564584
1,512,2,10,15,2.008000,0.626388
2,512,2,10,15,2.005000,1.713754
1,512,3,10,15,3.082000,1.021356
2,512,3,10,15,1.376000,2.014088
1,512,4,10,15,2.045000,1.234757
2,512,4,10,15,1.487000,2.205083
1,512,5,10,15,2.339000,2.006386
2,512,5,10,15,1.374000,2.888360
1,512,6,10,15,2.012000,2.412728
2,512,6,10,15,1.383000,2.930312
1,512,2,10,150,2.009000,0.809535
2,512,2,10,150,2.643000,1.914044
1,512,4,10,150,2.726000,1.589099
2,512,4,10,150,2.788000,2.086359
1,512,6,10,150,2.035000,3.043982
2,512,6,10,150,2.707000,3.201074
1,512,2,10,1500,2.030000,0.806984
2,512,2,10,1500,2.590000,1.818426
1,512,4,10,1500,2.013000,1.655984
2,512,4,10,1500,2.583000,1.208438
1,512,6,10,1500,2.009000,3.107924
2,512,6,10,1500,2.640000,5.318301
1,512,1,100,15,2.013000,1.490744
2,512,1,100,15,2.618000,0.979828
1,512,2,100,15,2.021000,1.020039
2,512,2,100,15,2.631000,1.863923
1,512,3,100,15,2.512000,2.908568
2,512,3,100,15,3.195000,2.088015
1,512,4,100,15,2.336000,1.944747
2,512,4,100,15,2.653000,2.205543
1,512,5,100,15,2.005000,5.798214
2,512,5,100,15,2.643000,4.615028
1,512,6,100,15,2.500000,3.822126
2,512,6,100,15,2.709000,3.248239
1,512,2,100,150,2.917000,1.515234
2,512,2,100,150,3.187000,2.126003
1,512,4,100,150,2.028000,3.025454
2,512,4,100,150,2.841000,1.623431
1,512,6,100,150,2.067000,5.829675
2,512,6,100,150,2.741000,2.618051
1,512,2,100,1500,2.043000,1.629502
2,512,2,100,1500,2.625000,0.417131
1,512,4,100,1500,2.019000,2.945639
2,512,4,100,1500,2.607000,0.119710
1,512,6,100,1500,2.003000,5.730060
2,512,6,100,1500,2.587000,0.000028
1,512,1,1000,15,2.006000,1.963579
2,512,1,1000,15,2.617000,0.000000
1,512,2,1000,15,2.020000,0.987860
2,512,2,1000,15,2.580000,1.937453
1,512,3,1000,15,2.027000,2.810657
2,512,3,1000,15,2.578000,0.722049
1,512,4,1000,15,2.032000,2.064161
2,512,4,1000,15,2.595000,2.563097
1,512,5,1000,15,2.008000,6.690856
2,512,5,1000,15,2.677000,10.573069
