func,samples,boundsType,a,b,time,result
1,256,1,10,15,0.000000,0.526064
2,256,1,10,15,0.000000,0.577963
1,256,2,10,15,0.000000,0.632027
2,256,2,10,15,0.000000,0.519906
1,256,3,10,15,0.000000,1.052001
2,256,3,10,15,0.000000,1.539953
1,256,4,10,15,0.000000,1.267557
2,256,4,10,15,0.000000,1.419121
1,256,5,10,15,0.000000,2.096054
2,256,5,10,15,0.000000,3.065583
1,256,6,10,15,0.000000,2.517563
2,256,6,10,15,0.000000,3.159192
1,256,1,10,150,0.000000,0.526064
2,256,1,10,150,0.000000,0.577963
1,256,2,10,150,0.000000,0.792223
2,256,2,10,150,0.000000,0.047075
1,256,3,10,150,0.000000,1.052001
2,256,3,10,150,0.000000,1.539953
1,256,4,10,150,0.000000,1.636966
2,256,4,10,150,0.000000,9.597861
1,256,5,10,150,0.000000,2.096054
2,256,5,10,150,0.000000,3.065583
1,256,6,10,150,0.000000,3.133974
2,256,6,10,150,0.000000,0.000412
1,256,1,10,1500,0.000000,0.526064
2,256,1,10,1500,0.000000,0.577963
1,256,2,10,1500,0.000000,0.916689
2,256,2,10,1500,0.000000,0.000000
1,256,3,10,1500,0.000000,1.052001
2,256,3,10,1500,0.000000,1.539953
1,256,4,10,1500,0.000000,2.229720
2,256,4,10,1500,0.000000,0.019509
1,256,5,10,1500,0.000000,2.096054
2,256,5,10,1500,0.000000,3.065583
1,256,6,10,1500,0.000000,3.561852
2,256,6,10,1500,0.000000,0.003503
1,256,1,100,15,0.000000,1.248921
2,256,1,100,15,0.000000,0.000000
1,256,2,100,15,0.000000,0.972591
2,256,2,100,15,0.000000,0.029993
1,256,3,100,15,0.000000,2.803617
2,256,3,100,15,0.000000,0.000000
1,256,4,100,15,0.000000,1.996205
2,256,4,100,15,0.000000,0.161984
1,256,5,100,15,0.000000,5.591461
2,256,5,100,15,0.000000,0.000000
1,256,6,100,15,0.000000,3.878008
2,256,6,100,15,0.000000,0.032064
1,256,1,100,150,0.000000,1.248921
2,256,1,100,150,0.000000,0.000000
1,256,2,100,150,0.000000,1.203898
2,256,2,100,150,0.000000,0.000000
1,256,3,100,150,0.000000,2.803617
2,256,3,100,150,0.000000,0.000000
1,256,4,100,150,0.000000,2.768157
2,256,4,100,150,0.000000,0.000000
1,256,5,100,150,0.000000,5.591461
2,256,5,100,150,0.000000,0.000000
1,256,6,100,150,0.000000,5.646607
2,256,6,100,150,0.000000,0.000000
1,256,1,100,1500,0.000000,1.248921
2,256,1,100,1500,0.000000,0.000000
1,256,2,100,1500,0.000000,0.796967
2,256,2,100,1500,0.000000,0.000000
1,256,3,100,1500,0.000000,2.803617
2,256,3,100,1500,0.000000,0.000000
1,256,4,100,1500,0.000000,10.196730
2,256,4,100,1500,0.000000,0.000002
1,256,5,100,1500,0.000000,5.591461
2,256,5,100,1500,0.000000,0.000000
1,256,6,100,1500,0.000000,2.328596
2,256,6,100,1500,0.000000,0.000000
1,256,1,1000,15,0.000000,0.250463
2,256,1,1000,15,0.000000,0.000000
1,256,2,1000,15,1.000000,1.047554
2,256,2,1000,15,0.000000,0.000000
1,256,3,1000,15,0.000000,0.611287
2,256,3,1000,15,0.000000,0.000000
1,256,4,1000,15,0.000000,2.222197
2,256,4,1000,15,0.000000,0.000000
1,256,5,1000,15,0.000000,1.810118
2,256,5,1000,15,0.000000,0.000000
1,256,6,1000,15,0.000000,4.261264
2,256,6,1000,15,0.000000,0.000000
1,256,1,1000,150,0.000000,0.250463
2,256,1,1000,150,0.000000,0.000000
1,256,2,1000,150,0.000000,0.776850
2,256,2,1000,150,0.000000,0.000000
1,256,3,1000,150,0.000000,0.611287
2,256,3,1000,150,0.000000,0.000000
1,256,4,1000,150,0.000000,2.005278
2,256,4,1000,150,0.000000,0.000000
1,256,5,1000,150,0.000000,1.810118
2,256,5,1000,150,0.000000,0.000000
1,256,6,1000,150,0.000000,2.591207
2,256,6,1000,150,0.000000,0.000000
1,256,1,1000,1500,0.000000,0.250463
2,256,1,1000,1500,0.000000,0.000000
1,256,2,1000,1500,0.000000,0.224615
2,256,2,1000,1500,0.000000,0.000000
1,256,3,1000,1500,0.000000,0.611287
2,256,3,1000,1500,0.000000,0.000000
1,256,4,1000,1500,0.000000,0.568220
2,256,4,1000,1500,0.000000,0.000000
1,256,5,1000,1500,0.000000,1.810118
2,256,5,1000,1500,0.000000,0.000000
1,256,6,1000,1500,0.000000,1.425641
2,256,6,1000,1500,0.000000,0.000000
1,512,1,10,15,0.000000,0.524251
2,512,1,10,15,0.000000,0.686911
1,512,2,10,15,0.000000,0.629800
2,512,2,10,15,0.000000,0.616711
1,512,3,10,15,0.000000,1.048876
2,512,3,10,15,0.000000,1.306957
1,512,4,10,15,0.000000,1.261035
2,512,4,10,15,0.000000,1.221320
1,512,5,10,15,0.000000,2.096243
2,512,5,10,15,0.000000,3.181537
1,512,6,10,15,0.000000,2.518376
2,512,6,10,15,0.000000,3.274698
1,512,1,10,150,0.000000,0.524251
2,512,1,10,150,0.000000,0.686911
1,512,2,10,150,0.000000,0.782839
2,512,2,10,150,0.000000,0.027149
1,512,3,10,150,0.000000,1.048876
2,512,3,10,150,0.000000,1.306957
1,512,4,10,150,0.000000,1.584053
2,512,4,10,150,0.000000,4.799390
1,512,5,10,150,0.000000,2.096243
2,512,5,10,150,0.000000,3.181537
1,512,6,10,150,0.000000,3.170645
2,512,6,10,150,0.000000,0.440567
1,512,1,10,1500,0.000000,0.524251
2,512,1,10,1500,0.000000,0.686911
1,512,2,10,1500,0.000000,0.782297
2,512,2,10,1500,0.000000,0.000000
1,512,3,10,1500,0.000000,1.048876
2,512,3,10,1500,0.000000,1.306957
1,512,4,10,1500,0.000000,1.750860
2,512,4,10,1500,0.000000,0.009754
1,512,5,10,1500,1.000000,2.096243
2,512,5,10,1500,0.000000,3.181537
1,512,6,10,1500,0.000000,3.354953
2,512,6,10,1500,0.000000,0.001751
1,512,1,100,15,0.000000,1.335670
2,512,1,100,15,0.000000,0.000000
1,512,2,100,15,0.000000,0.971337
2,512,2,100,15,0.000000,0.038535
1,512,3,100,15,0.000000,2.639068
2,512,3,100,15,0.000000,0.000000
1,512,4,100,15,0.000000,1.952827
2,512,4,100,15,0.000000,0.080992
1,512,5,100,15,0.000000,5.696348
2,512,5,100,15,0.000000,0.000000
1,512,6,100,15,0.000000,3.933917
2,512,6,100,15,0.000000,1.682466
1,512,1,100,150,0.000000,1.335670
2,512,1,100,150,0.000000,0.000000
1,512,2,100,150,0.000000,1.296273
2,512,2,100,150,0.000000,0.000000
1,512,3,100,150,0.000000,2.639068
2,512,3,100,150,0.000000,0.000000
1,512,4,100,150,0.000000,2.622419
2,512,4,100,150,0.000000,0.000000
1,512,5,100,150,0.000000,5.696348
2,512,5,100,150,0.000000,0.000000
1,512,6,100,150,0.000000,5.860745
2,512,6,100,150,0.000000,0.000000
1,512,1,100,1500,0.000000,1.335670
2,512,1,100,1500,0.000000,0.000000
1,512,2,100,1500,0.000000,0.766377
2,512,2,100,1500,0.000000,0.000000
1,512,3,100,1500,0.000000,2.639068
2,512,3,100,1500,0.000000,0.000000
1,512,4,100,1500,0.000000,5.586134
2,512,4,100,1500,0.000000,0.000001
1,512,5,100,1500,0.000000,5.696348
2,512,5,100,1500,0.000000,0.000000
1,512,6,100,1500,0.000000,3.779147
2,512,6,100,1500,0.000000,0.000000
1,512,1,1000,15,0.000000,0.328669
2,512,1,1000,15,0.000000,0.000000
1,512,2,1000,15,0.000000,0.930001
2,512,2,1000,15,0.000000,0.000000
1,512,3,1000,15,0.000000,0.566141
2,512,3,1000,15,0.000000,0.000000
1,512,4,1000,15,0.000000,2.039777
2,512,4,1000,15,0.000000,0.000000
1,512,5,1000,15,0.000000,1.848197
2,512,5,1000,15,0.000000,0.000000
1,512,6,1000,15,0.000000,4.182211
2,512,6,1000,15,0.000000,0.000000
1,512,1,1000,150,0.000000,0.328669
2,512,1,1000,150,0.000000,0.000000
1,512,2,1000,150,0.000000,0.813399
2,512,2,1000,150,0.000000,0.000000
1,512,3,1000,150,0.000000,0.566141
2,512,3,1000,150,0.000000,0.000000
1,512,4,1000,150,1.000000,1.443651
2,512,4,1000,150,0.000000,0.000000
1,512,5,1000,150,0.000000,1.848197
2,512,5,1000,150,0.000000,0.000000
1,512,6,1000,150,0.000000,4.831822
2,512,6,1000,150,0.000000,0.000000
1,512,1,1000,1500,0.000000,0.328669
2,512,1,1000,1500,0.000000,0.000000
1,512,2,1000,1500,0.000000,0.259199
2,512,2,1000,1500,0.000000,0.000000
1,512,3,1000,1500,0.000000,0.566141
2,512,3,1000,1500,0.000000,0.000000
1,512,4,1000,1500,0.000000,0.509226
2,512,4,1000,1500,0.000000,0.000000
1,512,5,1000,1500,0.000000,1.848197
2,512,5,1000,1500,0.000000,0.000000
1,512,6,1000,1500,0.000000,1.767502
2,512,6,1000,1500,0.000000,0.000000
1,1024,1,10,15,0.000000,0.524302
2,1024,1,10,15,0.000000,0.756021
1,1024,2,10,15,0.000000,0.629847
2,1024,2,10,15,0.000000,0.733295
1,1024,3,10,15,0.000000,1.048724
2,1024,3,10,15,0.000000,1.543299
1,1024,4,10,15,0.000000,1.260871
2,1024,4,10,15,0.000000,1.498353
1,1024,5,10,15,0.000000,2.095760
2,1024,5,10,15,0.000000,3.261336
1,1024,6,10,15,0.000000,2.517627
2,1024,6,10,15,0.000000,3.332754
1,1024,1,10,150,0.000000,0.524302
2,1024,1,10,150,0.000000,0.756021
1,1024,2,10,150,0.000000,0.785588
2,1024,2,10,150,0.000000,0.316582
1,1024,3,10,150,0.000000,1.048724
2,1024,3,10,150,1.000000,1.543299
1,1024,4,10,150,0.000000,1.588088
2,1024,4,10,150,0.000000,2.967170
1,1024,5,10,150,0.000000,2.095760
2,1024,5,10,150,0.000000,3.261336
1,1024,6,10,150,0.000000,3.133811
2,1024,6,10,150,0.000000,2.908070
1,1024,1,10,1500,0.000000,0.524302
2,1024,1,10,1500,0.000000,0.756021
1,1024,2,10,1500,0.000000,0.797307
2,1024,2,10,1500,0.000000,0.000000
1,1024,3,10,1500,0.000000,1.048724
2,1024,3,10,1500,0.000000,1.543299
1,1024,4,10,1500,0.000000,1.714572
2,1024,4,10,1500,0.000000,0.009257
1,1024,5,10,1500,0.000000,2.095760
2,1024,5,10,1500,0.000000,3.261336
1,1024,6,10,1500,0.000000,3.062519
2,1024,6,10,1500,0.000000,0.000876
1,1024,1,100,15,0.000000,1.402217
2,1024,1,100,15,0.000000,0.000002
1,1024,2,100,15,0.000000,0.975185
2,1024,2,100,15,0.000000,0.462935
1,1024,3,100,15,0.000000,2.847847
2,1024,3,100,15,0.000000,1.929075
1,1024,4,100,15,0.000000,1.959096
2,1024,4,100,15,0.000000,2.786220
1,1024,5,100,15,1.000000,5.851717
2,1024,5,100,15,0.000000,7.501890
1,1024,6,100,15,0.000000,3.903622
2,1024,6,100,15,0.000000,5.096125
1,1024,1,100,150,0.000000,1.402217
2,1024,1,100,150,0.000000,0.000002
1,1024,2,100,150,0.000000,1.403208
2,1024,2,100,150,0.000000,0.000000
1,1024,3,100,150,0.000000,2.847847
2,1024,3,100,150,0.000000,1.929075
1,1024,4,100,150,0.000000,2.874035
2,1024,4,100,150,0.000000,0.168044
1,1024,5,100,150,0.000000,5.851717
2,1024,5,100,150,0.000000,7.501890
1,1024,6,100,150,0.000000,6.037553
2,1024,6,100,150,0.000000,7.326026
1,1024,1,100,1500,0.000000,1.402217
2,1024,1,100,1500,0.000000,0.000002
1,1024,2,100,1500,0.000000,1.071905
2,1024,2,100,1500,0.000000,0.000000
1,1024,3,100,1500,0.000000,2.847847
2,1024,3,100,1500,0.000000,1.929075
1,1024,4,100,1500,0.000000,4.320944
2,1024,4,100,1500,0.000000,0.000000
1,1024,5,100,1500,0.000000,5.851717
2,1024,5,100,1500,0.000000,7.501890
1,1024,6,100,1500,0.000000,5.508092
2,1024,6,100,1500,0.000000,0.000000
1,1024,1,1000,15,0.000000,0.528156
2,1024,1,1000,15,0.000000,0.000000
1,1024,2,1000,15,0.000000,0.976676
2,1024,2,1000,15,0.000000,0.000008
1,1024,3,1000,15,0.000000,3.985071
2,1024,3,1000,15,0.000000,0.000000
1,1024,4,1000,15,0.000000,2.054995
2,1024,4,1000,15,0.000000,0.613580
1,1024,5,1000,15,0.000000,11.222774
2,1024,5,1000,15,0.000000,0.000000
1,1024,6,1000,15,0.000000,3.881590
2,1024,6,1000,15,0.000000,0.000000
1,1024,1,1000,150,0.000000,0.528156
2,1024,1,1000,150,0.000000,0.000000
1,1024,2,1000,150,0.000000,1.169152
2,1024,2,1000,150,0.000000,0.000000
1,1024,3,1000,150,0.000000,3.985071
2,1024,3,1000,150,0.000000,0.000000
1,1024,4,1000,150,2.000000,4.202698
2,1024,4,1000,150,0.000000,0.038485
1,1024,5,1000,150,0.000000,11.222774
2,1024,5,1000,150,0.000000,0.000000
1,1024,6,1000,150,0.000000,7.549601
2,1024,6,1000,150,0.000000,0.000000
1,1024,1,1000,1500,0.000000,0.528156
2,1024,1,1000,1500,0.000000,0.000000
1,1024,2,1000,1500,0.000000,0.471861
2,1024,2,1000,1500,0.000000,0.000000
1,1024,3,1000,1500,0.000000,3.985071
2,1024,3,1000,1500,0.000000,0.000000
1,1024,4,1000,1500,0.000000,2.488391
2,1024,4,1000,1500,0.000000,0.000000
1,1024,5,1000,1500,0.000000,11.222774
2,1024,5,1000,1500,0.000000,0.000000
1,1024,6,1000,1500,0.000000,12.890301
2,1024,6,1000,1500,0.000000,0.000000
1,2048,1,10,15,0.000000,0.523891
2,2048,1,10,15,0.000000,0.760210
1,2048,2,10,15,0.000000,0.629336
2,2048,2,10,15,0.000000,0.756790
1,2048,3,10,15,1.000000,1.047915
2,2048,3,10,15,0.000000,1.569630
1,2048,4,10,15,0.000000,1.259481
2,2048,4,10,15,0.000000,1.581339
1,2048,5,10,15,0.000000,2.094330
2,2048,5,10,15,0.000000,3.110826
1,2048,6,10,15,0.000000,2.515604
2,2048,6,10,15,0.000000,3.074076
1,2048,1,10,150,0.000000,0.523891
2,2048,1,10,150,0.000000,0.760210
1,2048,2,10,150,0.000000,0.783190
2,2048,2,10,150,0.000000,0.433695
1,2048,3,10,150,0.000000,1.047915
2,2048,3,10,150,1.000000,1.569630
1,2048,4,10,150,0.000000,1.572499
2,2048,4,10,150,0.000000,1.901209
1,2048,5,10,150,0.000000,2.094330
2,2048,5,10,150,0.000000,3.110826
1,2048,6,10,150,0.000000,3.130604
