func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.241000,0.523599
2,256,1,10,15,0.614000,0.785398
1,256,2,10,15,1.216000,0.629015
2,256,2,10,15,0.774000,0.785398
1,256,3,10,15,1.213000,1.047198
2,256,3,10,15,0.464000,1.570796
1,256,4,10,15,1.092000,1.258030
2,256,4,10,15,0.426000,1.570796
1,256,5,10,15,1.092000,2.094395
2,256,5,10,15,0.427000,3.141593
1,256,6,10,15,1.111000,2.516059
2,256,6,10,15,0.427000,3.141593
1,256,1,10,150,1.093000,0.523599
2,256,1,10,150,0.446000,0.785398
1,256,2,10,150,1.111000,0.783186
2,256,2,10,150,0.853000,0.785002
1,256,3,10,150,1.092000,1.047198
2,256,3,10,150,0.426000,1.570796
1,256,4,10,150,1.094000,1.566372
2,256,4,10,150,0.823000,1.570004
1,256,5,10,150,1.140000,2.094395
2,256,5,10,150,0.426000,3.141593
1,256,6,10,150,1.092000,3.132743
2,256,6,10,150,0.830000,2.799002
1,256,1,10,1500,1.210000,0.523599
2,256,1,10,1500,0.427000,0.785398
1,256,2,10,1500,1.100000,0.780657
2,256,2,10,1500,1.156000,1.730912
1,256,3,10,1500,1.573000,1.047198
2,256,3,10,1500,0.427000,1.570796
1,256,4,10,1500,1.113000,1.561314
2,256,4,10,1500,0.873000,3.461824
1,256,5,10,1500,1.092000,2.094395
2,256,5,10,1500,0.427000,3.141593
1,256,6,10,1500,1.091000,2.939004
2,256,6,10,1500,0.854000,13.847296
1,256,1,100,15,1.117000,1.429960
2,256,1,100,15,0.869000,0.785398
1,256,2,100,15,1.110000,0.975391
2,256,2,100,15,0.804000,0.785398
1,256,3,100,15,1.120000,2.859921
2,256,3,100,15,0.856000,1.552416
1,256,4,100,15,1.091000,1.950781
2,256,4,100,15,0.801000,1.552416
1,256,5,100,15,1.152000,5.719842
2,256,5,100,15,0.863000,3.068503
1,256,6,100,15,1.092000,3.901562
2,256,6,100,15,0.795000,3.104833
1,256,1,100,150,1.119000,1.429960
2,256,1,100,150,0.860000,0.785398
1,256,2,100,150,1.504000,1.451003
2,256,2,100,150,0.859000,0.785002
1,256,3,100,150,1.121000,2.859921
2,256,3,100,150,0.852000,1.552416
1,256,4,100,150,1.092000,2.902006
2,256,4,100,150,0.851000,1.551633
1,256,5,100,150,1.107000,5.719842
2,256,5,100,150,0.899000,3.068503
