func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.629000,0.523598
2,256,1,10,15,0.808000,0.785398
1,256,2,10,15,1.378000,0.629014
2,256,2,10,15,0.438000,0.785398
1,256,3,10,15,1.087000,1.047193
2,256,3,10,15,0.434000,1.570796
1,256,4,10,15,1.415000,1.258024
2,256,4,10,15,0.430000,1.570796
1,256,5,10,15,1.089000,2.094379
2,256,5,10,15,0.430000,3.141593
1,256,6,10,15,1.110000,2.516041
2,256,6,10,15,0.431000,3.141593
1,256,1,10,150,1.104000,0.523598
2,256,1,10,150,0.430000,0.785398
1,256,2,10,150,1.090000,0.783185
2,256,2,10,150,0.908000,0.785398
1,256,3,10,150,1.089000,1.047193
2,256,3,10,150,0.432000,1.570796
1,256,4,10,150,1.091000,1.566366
2,256,4,10,150,0.816000,1.570796
1,256,5,10,150,1.116000,2.094379
2,256,5,10,150,0.430000,3.141593
1,256,6,10,150,1.092000,3.132733
2,256,6,10,150,0.821000,3.146346
1,256,1,10,1500,1.106000,0.523598
2,256,1,10,1500,0.430000,0.785398
1,256,2,10,1500,1.110000,0.785444
2,256,2,10,1500,0.859000,2.596368
1,256,3,10,1500,1.088000,1.047193
2,256,3,10,1500,0.449000,1.570796
1,256,4,10,1500,1.091000,1.570885
2,256,4,10,1500,0.852000,5.192736
1,256,5,10,1500,1.090000,2.094379
2,256,5,10,1500,0.431000,3.141593
1,256,6,10,1500,1.181000,3.199224
2,256,6,10,1500,0.849000,20.770944
1,256,1,100,15,1.089000,1.429960
2,256,1,100,15,0.861000,0.785398
1,256,2,100,15,1.103000,0.975390
2,256,2,100,15,0.788000,0.785398
1,256,3,100,15,1.091000,2.859919
2,256,3,100,15,0.853000,1.570797
1,256,4,100,15,1.106000,1.950779
2,256,4,100,15,0.802000,1.570797
1,256,5,100,15,1.091000,5.719835
2,256,5,100,15,0.846000,3.141594
1,256,6,100,15,1.098000,3.901548
2,256,6,100,15,0.793000,3.141593
1,256,1,100,150,1.091000,1.429960
2,256,1,100,150,0.868000,0.785398
1,256,2,100,150,1.129000,1.451003
2,256,2,100,150,0.858000,0.785398
1,256,3,100,150,1.089000,2.859919
2,256,3,100,150,0.857000,1.570797
1,256,4,100,150,1.101000,2.902004
2,256,4,100,150,0.845000,1.570797
1,256,5,100,150,1.089000,5.719835
2,256,5,100,150,0.846000,3.141594
1,256,6,100,150,1.097000,5.804006
2,256,6,100,150,0.847000,3.146346
1,256,1,100,1500,1.104000,1.429960
2,256,1,100,1500,0.856000,0.785398
1,256,2,100,1500,1.099000,1.470975
2,256,2,100,1500,0.856000,2.596368
1,256,3,100,1500,1.089000,2.859919
2,256,3,100,1500,0.857000,1.570797
1,256,4,100,1500,1.371000,2.941948
2,256,4,100,1500,0.932000,5.192737
1,256,5,100,1500,1.090000,5.719835
2,256,5,100,1500,0.939000,3.141594
1,256,6,100,1500,1.390000,5.942873
2,256,6,100,1500,0.860000,20.770948
1,256,1,1000,15,1.120000,1.556655
2,256,1,1000,15,1.032000,3.814701
1,256,2,1000,15,1.300000,0.982718
2,256,2,1000,15,1.140000,1.730913
1,256,3,1000,15,1.315000,3.115331
2,256,3,1000,15,0.937000,15.258796
1,256,4,1000,15,1.312000,1.967456
2,256,4,1000,15,1.068000,6.923648
1,256,5,1000,15,1.099000,6.234991
2,256,5,1000,15,0.842000,61.035156
1,256,6,1000,15,1.105000,3.934903
2,256,6,1000,15,0.850000,13.847296
1,256,1,1000,150,1.090000,1.556655
2,256,1,1000,150,0.855000,3.814701
1,256,2,1000,150,1.087000,1.503483
2,256,2,1000,150,0.852000,1.730913
1,256,3,1000,150,1.092000,3.115331
2,256,3,1000,150,0.855000,15.258796
1,256,4,1000,150,1.111000,3.008985
2,256,4,1000,150,0.893000,6.923648
1,256,5,1000,150,1.168000,6.234991
2,256,5,1000,150,0.934000,61.035156
1,256,6,1000,150,1.103000,6.017968
2,256,6,1000,150,0.842000,13.868246
1,256,1,1000,1500,1.092000,1.556655
2,256,1,1000,1500,0.855000,3.814701
1,256,2,1000,1500,1.099000,1.558848
2,256,2,1000,1500,0.856000,5.722049
1,256,3,1000,1500,1.381000,3.115331
