func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.866000,0.504007
2,256,1,10,15,1.371000,7.503230
1,256,2,10,15,1.823000,0.618472
2,256,2,10,15,1.227000,10.201161
1,256,3,10,15,1.704000,0.827812
2,256,3,10,15,1.255000,5.417477
1,256,4,10,15,1.702000,1.031045
2,256,4,10,15,1.227000,7.502552
1,256,5,10,15,1.747000,1.387820
2,256,5,10,15,1.354000,3.880649
1,256,6,10,15,1.756000,1.533317
2,256,6,10,15,1.228000,4.419896
1,256,1,10,150,1.702000,0.502987
2,256,1,10,150,1.262000,7.558976
1,256,2,10,150,1.709000,2.716428
2,256,2,10,150,1.826000,61.060998
1,256,3,10,150,2.043000,0.827629
2,256,3,10,150,1.280000,5.349252
1,256,4,10,150,1.726000,4.377670
2,256,4,10,150,1.727000,45.472822
1,256,5,10,150,1.722000,1.387227
2,256,5,10,150,1.227000,3.867730
1,256,6,10,150,1.717000,2.902383
2,256,6,10,150,1.686000,12.577962
1,256,1,10,1500,1.702000,0.502499
2,256,1,10,1500,1.239000,7.745786
1,256,2,10,1500,1.703000,15.606313
2,256,2,10,1500,1.745000,266.107142
1,256,3,10,1500,1.702000,0.829635
2,256,3,10,1500,1.232000,5.484134
1,256,4,10,1500,1.716000,25.543789
2,256,4,10,1500,1.846000,172.639272
1,256,5,10,1500,1.880000,1.393073
2,256,5,10,1500,1.241000,3.724149
1,256,6,10,1500,1.856000,8.900433
2,256,6,10,1500,1.855000,48.757261
1,256,1,100,15,1.708000,7.848355
2,256,1,100,15,1.867000,275.587516
1,256,2,100,15,1.852000,2.502469
2,256,2,100,15,1.761000,60.668975
1,256,3,100,15,1.706000,5.756565
2,256,3,100,15,1.676000,94.539268
1,256,4,100,15,1.703000,1.864924
2,256,4,100,15,1.684000,26.594100
1,256,5,100,15,1.712000,4.936659
2,256,5,100,15,1.710000,24.668964
1,256,6,100,15,1.861000,2.788766
2,256,6,100,15,1.892000,13.055326
1,256,1,100,150,1.714000,7.947689
2,256,1,100,150,1.683000,254.489951
1,256,2,100,150,1.721000,10.889509
2,256,2,100,150,1.693000,352.065689
1,256,3,100,150,1.942000,5.891445
2,256,3,100,150,1.681000,106.362010
1,256,4,100,150,1.702000,7.828470
2,256,4,100,150,1.683000,129.053132
1,256,5,100,150,1.940000,4.624717
2,256,5,100,150,2.328000,30.491334
1,256,6,100,150,2.185000,5.566594
2,256,6,100,150,2.348000,38.007236
1,256,1,100,1500,2.182000,7.693455
2,256,1,100,1500,1.994000,269.604371
1,256,2,100,1500,1.766000,60.964021
2,256,2,100,1500,1.677000,1673.747489
1,256,3,100,1500,1.702000,6.065404
2,256,3,100,1500,1.692000,95.721001
1,256,4,100,1500,1.704000,45.072602
2,256,4,100,1500,1.658000,562.892780
1,256,5,100,1500,1.725000,4.460608
2,256,5,100,1500,1.653000,33.571244
1,256,6,100,1500,1.723000,16.111391
2,256,6,100,1500,1.743000,34.212476
1,256,1,1000,15,1.833000,247.489816
2,256,1,1000,15,1.723000,6179.964292
1,256,2,1000,15,1.706000,14.337377
2,256,2,1000,15,1.714000,280.717784
1,256,3,1000,15,1.702000,103.196980
2,256,3,1000,15,1.744000,1298.261143
1,256,4,1000,15,1.702000,5.680839
2,256,4,1000,15,1.725000,68.208057
1,256,5,1000,15,1.703000,37.426915
2,256,5,1000,15,1.752000,425.124408
1,256,6,1000,15,1.702000,7.994008
2,256,6,1000,15,1.653000,41.831725
1,256,1,1000,150,1.716000,269.104234
2,256,1,1000,150,1.694000,5658.879669
1,256,2,1000,150,1.719000,62.803417
2,256,2,1000,150,1.696000,1790.730305
1,256,3,1000,150,1.702000,99.881519
2,256,3,1000,150,1.696000,1929.790669
1,256,4,1000,150,1.751000,26.171567
2,256,4,1000,150,1.701000,363.461520
1,256,5,1000,150,1.702000,47.603158
2,256,5,1000,150,1.721000,526.368190
1,256,6,1000,150,1.705000,16.083914
2,256,6,1000,150,1.731000,75.981479
1,256,1,1000,1500,1.723000,270.495575
2,256,1,1000,1500,1.661000,6211.642148
1,256,2,1000,1500,1.711000,347.629769
2,256,2,1000,1500,1.655000,6668.090112
1,256,3,1000,1500,1.723000,110.881288
2,256,3,1000,1500,1.699000,1706.621169
