func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.606000,0.523599
2,256,1,10,15,0.789000,0.785398
1,256,2,10,15,1.587000,0.629015
2,256,2,10,15,0.513000,0.785398
1,256,3,10,15,1.075000,1.047200
2,256,3,10,15,0.453000,1.570796
1,256,4,10,15,1.067000,1.258032
2,256,4,10,15,0.427000,1.570796
1,256,5,10,15,1.067000,2.094403
2,256,5,10,15,0.430000,3.141593
1,256,6,10,15,1.227000,2.516068
2,256,6,10,15,0.428000,3.141593
1,256,2,10,150,1.066000,0.783186
2,256,2,10,150,0.816000,0.785398
1,256,4,10,150,1.066000,1.566374
2,256,4,10,150,0.835000,1.570796
1,256,6,10,150,1.066000,3.132748
2,256,6,10,150,0.809000,3.136840
1,256,2,10,1500,1.066000,0.785307
2,256,2,10,1500,0.850000,0.000972
1,256,4,10,1500,1.068000,1.570616
2,256,4,10,1500,0.842000,0.001945
1,256,6,10,1500,1.066000,3.084331
2,256,6,10,1500,0.858000,0.000000
1,256,1,100,15,1.066000,1.429961
2,256,1,100,15,0.841000,0.785398
1,256,2,100,15,1.066000,0.975391
2,256,2,100,15,0.800000,0.785398
1,256,3,100,15,1.066000,2.859922
2,256,3,100,15,0.834000,1.570796
1,256,4,100,15,1.069000,1.950782
2,256,4,100,15,0.777000,1.570796
1,256,5,100,15,1.081000,5.719845
2,256,5,100,15,0.842000,3.141591
1,256,6,100,15,1.067000,3.901569
2,256,6,100,15,0.779000,3.141592
1,256,2,100,150,1.076000,1.451003
2,256,2,100,150,1.180000,0.785398
1,256,4,100,150,1.568000,2.902007
2,256,4,100,150,1.238000,1.570796
1,256,6,100,150,1.071000,5.804014
2,256,6,100,150,0.843000,3.136839
1,256,2,100,1500,1.067000,1.470837
2,256,2,100,1500,0.858000,0.000972
1,256,4,100,1500,1.066000,2.941674
2,256,4,100,1500,0.996000,0.001945
1,256,6,100,1500,1.160000,5.824924
2,256,6,100,1500,0.996000,0.000000
1,256,1,1000,15,1.075000,1.556654
2,256,1,1000,15,0.853000,0.007415
1,256,2,1000,15,1.070000,0.982719
2,256,2,1000,15,0.871000,0.076314
1,256,3,1000,15,1.066000,3.111290
2,256,3,1000,15,0.839000,0.000000
1,256,4,1000,15,1.066000,1.963419
2,256,4,1000,15,0.852000,0.000003
1,256,5,1000,15,1.067000,6.218830
2,256,5,1000,15,0.839000,0.000000
1,256,6,1000,15,1.082000,3.926843
2,256,6,1000,15,1.276000,0.000007
1,256,2,1000,150,1.580000,1.503482
2,256,2,1000,150,1.250000,0.076314
1,256,4,1000,150,1.607000,3.004946
