func,samples,boundsType,a,b,time,result
1,1024,1,100,150,17.659933,1.429960
2,1024,1,100,150,13.953167,0.785398
1,1024,2,100,150,19.269800,1.451003
2,1024,2,100,150,15.921000,0.785398
1,1024,3,100,150,17.582100,2.859921
2,1024,3,100,150,14.001500,1.570796
1,1024,4,100,150,17.897167,2.902006
2,1024,4,100,150,13.934100,1.570796
1,1024,5,100,150,19.318467,5.719842
2,1024,5,100,150,15.024567,3.141593
1,1024,6,100,150,18.223267,5.804012
2,1024,6,100,150,14.520600,3.141593
1,1056,1,100,150,19.307867,1.429960
2,1056,1,100,150,15.062700,0.785398
1,1056,2,100,150,19.263000,1.451003
2,1056,2,100,150,15.033100,0.785398
1,1056,3,100,150,19.258933,2.859921
2,1056,3,100,150,15.719500,1.570796
1,1056,4,100,150,19.650067,2.902006
2,1056,4,100,150,15.553667,1.570796
1,1056,5,100,150,19.718100,5.719842
2,1056,5,100,150,15.521967,3.141593
1,1056,6,100,150,20.565967,5.804012
2,1056,6,100,150,16.499833,3.141593
1,1088,1,100,150,19.936700,1.429960
2,1088,1,100,150,15.598867,0.785398
1,1088,2,100,150,21.080567,1.451003
2,1088,2,100,150,16.778933,0.785398
1,1088,3,100,150,21.113667,2.859921
2,1088,3,100,150,16.688367,1.570796
1,1088,4,100,150,20.280167,2.902006
2,1088,4,100,150,16.239667,1.570796
1,1088,5,100,150,21.361033,5.719842
2,1088,5,100,150,17.068233,3.141593
1,1088,6,100,150,20.784667,5.804012
2,1088,6,100,150,16.276633,3.141593
1,1120,1,100,150,20.735700,1.429960
2,1120,1,100,150,16.740667,0.785398
1,1120,2,100,150,22.052833,1.451003
2,1120,2,100,150,17.233133,0.785398
1,1120,3,100,150,22.829133,2.859921
2,1120,3,100,150,18.254333,1.570796
1,1120,4,100,150,21.050333,2.902006
2,1120,4,100,150,16.595333,1.570796
1,1120,5,100,150,22.671667,5.719842
2,1120,5,100,150,17.536267,3.141593
1,1120,6,100,150,21.317600,5.804012
2,1120,6,100,150,17.071833,3.141593
1,1152,1,100,150,23.919800,1.429960
2,1152,1,100,150,18.674400,0.785398
1,1152,2,100,150,23.504067,1.451003
2,1152,2,100,150,18.956400,0.785398
1,1152,3,100,150,22.269633,2.859921
2,1152,3,100,150,17.293267,1.570796
1,1152,4,100,150,22.362467,2.902006
2,1152,4,100,150,17.845600,1.570796
1,1152,5,100,150,23.942367,5.719842
2,1152,5,100,150,19.545567,3.141593
1,1152,6,100,150,23.071233,5.804012
2,1152,6,100,150,18.304700,3.141593
1,1184,1,100,150,25.366533,1.429960
2,1184,1,100,150,19.766500,0.785398
1,1184,2,100,150,23.470400,1.451003
2,1184,2,100,150,18.440233,0.785398
1,1184,3,100,150,23.957233,2.859921
2,1184,3,100,150,19.084633,1.570796
1,1184,4,100,150,25.276733,2.902006
2,1184,4,100,150,20.066867,1.570796
1,1184,5,100,150,23.246600,5.719842
2,1184,5,100,150,18.500933,3.141593
1,1184,6,100,150,24.133133,5.804012
2,1184,6,100,150,19.250400,3.141593
1,1216,1,100,150,25.763333,1.429960
2,1216,1,100,150,20.690433,0.785398
1,1216,2,100,150,26.038933,1.451003
2,1216,2,100,150,20.299033,0.785398
1,1216,3,100,150,25.943733,2.859921
2,1216,3,100,150,21.224467,1.570796
1,1216,4,100,150,24.439533,2.902006
2,1216,4,100,150,19.433600,1.570796
1,1216,5,100,150,27.259767,5.719842
2,1216,5,100,150,22.546333,3.141593
1,1216,6,100,150,25.017567,5.804012
2,1216,6,100,150,20.027700,3.141593
1,1248,1,100,150,26.523433,1.429960
2,1248,1,100,150,21.174900,0.785398
1,1248,2,100,150,26.354000,1.451003
2,1248,2,100,150,21.116833,0.785398
1,1248,3,100,150,28.447067,2.859921
2,1248,3,100,150,22.462233,1.570796
1,1248,4,100,150,27.156500,2.902006
2,1248,4,100,150,21.464333,1.570796
1,1248,5,100,150,26.032367,5.719842
2,1248,5,100,150,20.792333,3.141593
1,1248,6,100,150,28.848800,5.804012
2,1248,6,100,150,22.799367,3.141593
1,1280,1,100,150,28.540733,1.429960
2,1280,1,100,150,22.517833,0.785398
1,1280,2,100,150,28.373733,1.451003
2,1280,2,100,150,22.472233,0.785398
1,1280,3,100,150,27.542500,2.859921
2,1280,3,100,150,22.022967,1.570796
1,1280,4,100,150,29.388533,2.902006
2,1280,4,100,150,23.008367,1.570796
1,1280,5,100,150,28.880033,5.719842
2,1280,5,100,150,22.676600,3.141593
1,1280,6,100,150,28.620200,5.804012
2,1280,6,100,150,23.177533,3.141593
1,1312,1,100,150,29.794667,1.429960
2,1312,1,100,150,23.658633,0.785398
1,1312,2,100,150,30.351467,1.451003
2,1312,2,100,150,24.222333,0.785398
1,1312,3,100,150,28.255000,2.859921
2,1312,3,100,150,22.815767,1.570796
1,1312,4,100,150,30.187400,2.902006
2,1312,4,100,150,23.913700,1.570796
1,1312,5,100,150,31.180433,5.719842
2,1312,5,100,150,24.181700,3.141593
1,1312,6,100,150,29.321000,5.804012
2,1312,6,100,150,23.285933,3.141593
1,1344,1,100,150,32.598733,1.429960
2,1344,1,100,150,26.188633,0.785398
1,1344,2,100,150,29.849733,1.451003
2,1344,2,100,150,23.784267,0.785398
1,1344,3,100,150,32.027600,2.859921
2,1344,3,100,150,24.979533,1.570796
1,1344,4,100,150,31.784400,2.902006
2,1344,4,100,150,25.210500,1.570796
1,1344,5,100,150,31.447500,5.719842
2,1344,5,100,150,24.871467,3.141593
1,1344,6,100,150,31.029567,5.804012
2,1344,6,100,150,24.414667,3.141593
1,1376,1,100,150,33.512567,1.429960
2,1376,1,100,150,27.193100,0.785398
1,1376,2,100,150,31.657133,1.451003
2,1376,2,100,150,24.668167,0.785398
1,1376,3,100,150,33.029200,2.859921
2,1376,3,100,150,26.222333,1.570796
1,1376,4,100,150,35.102133,2.902006
2,1376,4,100,150,27.580500,1.570796
1,1376,5,100,150,32.448867,5.719842
2,1376,5,100,150,25.570100,3.141593
1,1376,6,100,150,33.591833,5.804012
2,1376,6,100,150,26.966500,3.141593
1,1408,1,100,150,33.970833,1.429960
2,1408,1,100,150,26.800333,0.785398
1,1408,2,100,150,33.609033,1.451003
2,1408,2,100,150,26.830800,0.785398
1,1408,3,100,150,34.505000,2.859921
2,1408,3,100,150,27.539067,1.570796
1,1408,4,100,150,36.153100,2.902006
2,1408,4,100,150,28.107500,1.570796
1,1408,5,100,150,34.247133,5.719842
2,1408,5,100,150,26.371800,3.141593
1,1408,6,100,150,35.506800,5.804012
2,1408,6,100,150,28.465933,3.141593
1,1440,1,100,150,35.165067,1.429960
2,1440,1,100,150,28.054033,0.785398
1,1440,2,100,150,34.680733,1.451003
2,1440,2,100,150,27.672000,0.785398
1,1440,3,100,150,37.283933,2.859921
2,1440,3,100,150,30.111700,1.570796
1,1440,4,100,150,36.024000,2.902006
2,1440,4,100,150,28.619933,1.570796
1,1440,5,100,150,35.866400,5.719842
2,1440,5,100,150,27.643600,3.141593
1,1440,6,100,150,36.367167,5.804012
2,1440,6,100,150,28.491633,3.141593
1,1472,1,100,150,36.795733,1.429960
2,1472,1,100,150,28.932233,0.785398
1,1472,2,100,150,37.911067,1.451003
2,1472,2,100,150,30.936500,0.785398
1,1472,3,100,150,37.709733,2.859921
2,1472,3,100,150,30.487567,1.570796
1,1472,4,100,150,37.207367,2.902006
2,1472,4,100,150,30.012533,1.570796
1,1472,5,100,150,37.631667,5.719842
2,1472,5,100,150,30.381833,3.141593
1,1472,6,100,150,36.381833,5.804012
2,1472,6,100,150,29.255467,3.141593
1,1504,1,100,150,39.360267,1.429960
2,1504,1,100,150,31.500933,0.785398
1,1504,2,100,150,39.797967,1.451003
2,1504,2,100,150,31.486267,0.785398
1,1504,3,100,150,38.328933,2.859921
2,1504,3,100,150,30.493200,1.570796
1,1504,4,100,150,40.276133,2.902006
2,1504,4,100,150,31.368567,1.570796
1,1504,5,100,150,37.857100,5.719842
2,1504,5,100,150,29.563800,3.141593
1,1504,6,100,150,39.898967,5.804012
2,1504,6,100,150,31.343100,3.141593
1,1536,1,100,150,42.263767,1.429960
