func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.052000,0.515459
2,256,1,10,15,0.671000,1.539286
1,256,2,10,15,1.036000,0.625433
2,256,2,10,15,0.849000,1.592506
1,256,3,10,15,0.952000,1.017390
2,256,3,10,15,0.667000,2.188126
1,256,4,10,15,1.254000,1.231832
2,256,4,10,15,1.054000,2.429243
1,256,5,10,15,1.526000,2.016208
2,256,5,10,15,0.811000,2.990562
1,256,6,10,15,0.935000,2.401291
2,256,6,10,15,0.635000,3.101293
1,256,1,10,150,0.935000,0.518547
2,256,1,10,150,0.639000,1.669827
1,256,2,10,150,0.972000,0.838259
2,256,2,10,150,1.056000,1.794627
1,256,3,10,150,0.935000,1.022152
2,256,3,10,150,0.770000,2.013031
1,256,4,10,150,1.035000,1.599765
2,256,4,10,150,1.063000,1.798416
1,256,5,10,150,0.933000,2.003567
2,256,5,10,150,0.636000,2.714167
1,256,6,10,150,0.981000,3.058866
2,256,6,10,150,1.053000,1.991449
1,256,1,10,1500,0.933000,0.519668
2,256,1,10,1500,0.639000,1.657953
1,256,2,10,1500,0.933000,0.796673
2,256,2,10,1500,0.978000,1.125914
1,256,3,10,1500,0.933000,1.022303
2,256,3,10,1500,0.638000,2.150308
1,256,4,10,1500,0.934000,1.669737
2,256,4,10,1500,0.973000,1.756825
1,256,5,10,1500,0.936000,2.007463
2,256,5,10,1500,0.636000,2.777146
1,256,6,10,1500,0.934000,2.941020
2,256,6,10,1500,0.955000,3.944993
1,256,1,100,15,0.957000,1.433992
2,256,1,100,15,0.995000,2.750196
1,256,2,100,15,0.936000,0.999460
2,256,2,100,15,1.106000,1.671193
1,256,3,100,15,0.948000,2.827700
2,256,3,100,15,0.994000,2.523551
1,256,4,100,15,0.935000,1.949656
2,256,4,100,15,1.104000,1.670165
1,256,5,100,15,0.943000,5.450706
2,256,5,100,15,1.095000,2.904703
1,256,6,100,15,1.205000,3.802333
2,256,6,100,15,1.337000,2.213376
1,256,1,100,150,0.950000,1.489845
2,256,1,100,150,1.000000,1.244040
1,256,2,100,150,0.936000,1.461159
2,256,2,100,150,0.994000,2.568111
1,256,3,100,150,0.934000,2.891506
2,256,3,100,150,0.996000,2.438992
1,256,4,100,150,0.935000,3.003932
2,256,4,100,150,0.986000,0.545428
1,256,5,100,150,0.947000,5.510535
2,256,5,100,150,0.992000,5.304462
1,256,6,100,150,0.935000,5.606581
2,256,6,100,150,0.992000,4.526141
1,256,1,100,1500,0.940000,1.571389
2,256,1,100,1500,1.000000,3.522049
1,256,2,100,1500,0.935000,1.650986
2,256,2,100,1500,0.951000,0.107318
1,256,3,100,1500,0.950000,3.028314
2,256,3,100,1500,0.992000,3.501457
1,256,4,100,1500,0.932000,3.026021
2,256,4,100,1500,0.945000,0.000000
1,256,5,100,1500,0.941000,5.678230
2,256,5,100,1500,0.993000,4.012919
1,256,6,100,1500,0.935000,7.278436
2,256,6,100,1500,0.944000,3.330905
1,256,1,1000,15,0.943000,1.248084
2,256,1,1000,15,0.942000,0.263201
1,256,2,1000,15,0.936000,1.017369
2,256,2,1000,15,0.958000,2.139186
1,256,3,1000,15,0.943000,1.780611
2,256,3,1000,15,0.943000,29.266983
1,256,4,1000,15,1.004000,1.815496
2,256,4,1000,15,0.992000,1.669826
1,256,5,1000,15,1.185000,6.143623
2,256,5,1000,15,0.951000,0.000000
1,256,6,1000,15,0.938000,4.312157
2,256,6,1000,15,0.960000,1.959962
1,256,1,1000,150,0.955000,2.072004
2,256,1,1000,150,0.942000,0.000004
1,256,2,1000,150,0.937000,1.430403
2,256,2,1000,150,0.947000,0.107318
1,256,3,1000,150,0.953000,3.736419
2,256,3,1000,150,1.144000,0.000000
1,256,4,1000,150,0.990000,2.635628
2,256,4,1000,150,1.109000,0.078960
1,256,5,1000,150,0.959000,4.530633
2,256,5,1000,150,0.942000,0.000000
1,256,6,1000,150,0.938000,6.927521
2,256,6,1000,150,0.947000,11.794148
1,256,1,1000,1500,0.946000,2.193712
2,256,1,1000,1500,0.942000,0.000000
1,256,2,1000,1500,1.077000,2.411338
2,256,2,1000,1500,1.157000,0.000007
1,256,3,1000,1500,0.979000,4.199754
2,256,3,1000,1500,0.957000,0.000000
1,256,4,1000,1500,1.105000,2.959458
2,256,4,1000,1500,0.944000,0.005320
1,256,5,1000,1500,1.002000,5.033063
2,256,5,1000,1500,1.100000,1.052804
1,256,6,1000,1500,1.516000,10.140172
2,256,6,1000,1500,1.369000,0.000026
1,512,1,10,15,3.095000,0.519844
2,512,1,10,15,2.166000,1.560720
1,512,2,10,15,2.436000,0.626146
2,512,2,10,15,1.412000,1.602866
1,512,3,10,15,1.872000,1.019767
2,512,3,10,15,1.774000,2.177065
1,512,4,10,15,1.879000,1.231254
2,512,4,10,15,1.319000,2.047550
1,512,5,10,15,2.221000,1.999483
2,512,5,10,15,1.272000,2.738157
1,512,6,10,15,2.133000,2.411440
2,512,6,10,15,1.285000,2.950708
1,512,1,10,150,1.956000,0.519217
2,512,1,10,150,1.481000,1.612501
1,512,2,10,150,1.891000,0.790728
2,512,2,10,150,2.105000,1.790148
1,512,3,10,150,1.892000,1.018086
2,512,3,10,150,1.290000,1.986862
1,512,4,10,150,1.872000,1.603435
2,512,4,10,150,2.134000,2.557975
1,512,5,10,150,1.869000,2.005916
2,512,5,10,150,1.297000,2.729835
1,512,6,10,150,1.892000,3.033359
2,512,6,10,150,2.117000,2.704321
1,512,1,10,1500,1.869000,0.518507
2,512,1,10,1500,1.287000,1.563790
1,512,2,10,1500,1.869000,0.798854
2,512,2,10,1500,1.925000,2.105536
1,512,3,10,1500,1.868000,1.021828
2,512,3,10,1500,1.281000,2.090341
1,512,4,10,1500,1.903000,1.488123
2,512,4,10,1500,1.906000,1.607283
1,512,5,10,1500,1.882000,2.005141
2,512,5,10,1500,1.432000,2.943228
1,512,6,10,1500,1.888000,3.146383
2,512,6,10,1500,2.052000,4.485170
1,512,1,100,15,1.883000,1.531169
2,512,1,100,15,1.989000,2.356201
1,512,2,100,15,1.875000,1.025787
2,512,2,100,15,2.253000,1.453839
1,512,3,100,15,1.912000,2.941253
2,512,3,100,15,2.286000,2.292434
1,512,4,100,15,1.891000,1.934078
2,512,4,100,15,2.215000,2.212916
1,512,5,100,15,1.885000,5.715605
2,512,5,100,15,1.987000,2.073631
1,512,6,100,15,1.885000,3.846937
2,512,6,100,15,2.218000,2.854940
1,512,1,100,150,1.916000,1.472401
2,512,1,100,150,2.131000,1.565441
1,512,2,100,150,1.880000,1.526779
2,512,2,100,150,1.950000,1.643528
