func,samples,boundsType,a,b,time,result
1,65536,1,10,15,1.230000,0.523612
2,65536,1,10,15,0.461000,0.784925
1,65536,2,10,15,1.143000,0.629030
2,65536,2,10,15,0.459000,0.784532
1,65536,3,10,15,1.112000,1.047225
2,65536,3,10,15,0.442000,1.571829
1,65536,4,10,15,1.111000,1.258082
2,65536,4,10,15,0.453000,1.572818
1,65536,5,10,15,1.330000,2.094405
2,65536,5,10,15,0.459000,3.142024
1,65536,6,10,15,1.476000,2.516064
2,65536,6,10,15,0.460000,3.141436
1,65536,1,10,150,1.135000,0.523612
2,65536,1,10,150,0.459000,0.784925
1,65536,2,10,150,1.112000,0.783233
2,65536,2,10,150,1.443000,0.770755
1,65536,3,10,150,1.147000,1.047225
2,65536,3,10,150,0.444000,1.571829
1,65536,4,10,150,1.114000,1.566757
2,65536,4,10,150,1.130000,1.591270
1,65536,5,10,150,1.134000,2.094405
2,65536,5,10,150,0.459000,3.142024
1,65536,6,10,150,1.112000,3.132787
2,65536,6,10,150,1.100000,3.149888
1,65536,1,10,1500,1.129000,0.523612
2,65536,1,10,1500,0.458000,0.784925
1,65536,2,10,1500,1.112000,0.785582
2,65536,2,10,1500,1.080000,0.651699
1,65536,3,10,1500,1.136000,1.047225
2,65536,3,10,1500,0.442000,1.571829
1,65536,4,10,1500,1.111000,1.574412
2,65536,4,10,1500,1.081000,1.618883
1,65536,5,10,1500,1.112000,2.094405
2,65536,5,10,1500,0.470000,3.142024
1,65536,6,10,1500,1.110000,3.143578
2,65536,6,10,1500,1.074000,3.512285
1,65536,1,100,15,1.111000,1.429484
2,65536,1,100,15,1.164000,0.781418
1,65536,2,100,15,1.116000,0.975392
2,65536,2,100,15,1.034000,0.771416
1,65536,3,100,15,1.132000,2.861029
2,65536,3,100,15,1.138000,1.628551
1,65536,4,100,15,1.113000,1.950914
2,65536,4,100,15,1.074000,1.563355
1,65536,5,100,15,1.130000,5.719759
2,65536,5,100,15,1.154000,3.462130
1,65536,6,100,15,1.645000,3.901595
2,65536,6,100,15,1.289000,3.171064
1,65536,1,100,150,1.699000,1.429484
2,65536,1,100,150,1.250000,0.781418
1,65536,2,100,150,1.241000,1.450152
2,65536,2,100,150,1.067000,0.762453
1,65536,3,100,150,1.111000,2.861029
2,65536,3,100,150,1.164000,1.628551
1,65536,4,100,150,1.111000,2.903848
2,65536,4,100,150,1.133000,1.601392
1,65536,5,100,150,1.150000,5.719759
2,65536,5,100,150,1.171000,3.462130
1,65536,6,100,150,1.111000,5.804006
2,65536,6,100,150,1.123000,3.773504
1,65536,1,100,1500,1.129000,1.429484
2,65536,1,100,1500,1.260000,0.781418
1,65536,2,100,1500,1.356000,1.456345
2,65536,2,100,1500,1.109000,0.047438
1,65536,3,100,1500,1.139000,2.861029
2,65536,3,100,1500,1.143000,1.628551
1,65536,4,100,1500,1.111000,2.963733
2,65536,4,100,1500,1.080000,0.944199
1,65536,5,100,1500,1.111000,5.719759
2,65536,5,100,1500,1.246000,3.462130
1,65536,6,100,1500,1.409000,5.909224
2,65536,6,100,1500,1.077000,7.296703
1,65536,1,1000,15,1.113000,1.542197
2,65536,1,1000,15,1.058000,0.000014
1,65536,2,1000,15,1.128000,0.982538
2,65536,2,1000,15,1.145000,0.665609
1,65536,3,1000,15,1.454000,3.163628
2,65536,3,1000,15,1.099000,0.000270
1,65536,4,1000,15,1.111000,1.965710
2,65536,4,1000,15,1.076000,1.431536
1,65536,5,1000,15,1.111000,6.525465
2,65536,5,1000,15,1.080000,9.275723
1,65536,6,1000,15,1.473000,3.932544
2,65536,6,1000,15,1.229000,3.745048
1,65536,1,1000,150,1.148000,1.542197
2,65536,1,1000,150,1.058000,0.000014
1,65536,2,1000,150,1.111000,1.489887
2,65536,2,1000,150,1.053000,0.043166
1,65536,3,1000,150,1.130000,3.163628
2,65536,3,1000,150,1.051000,0.000270
1,65536,4,1000,150,1.471000,3.006288
2,65536,4,1000,150,1.210000,1.854483
1,65536,5,1000,150,1.165000,6.525465
2,65536,5,1000,150,1.057000,9.275723
1,65536,6,1000,150,1.111000,6.054832
2,65536,6,1000,150,1.088000,7.248767
1,65536,1,1000,1500,1.111000,1.542197
2,65536,1,1000,1500,1.457000,0.000014
1,65536,2,1000,1500,1.694000,1.517407
2,65536,2,1000,1500,1.190000,0.000000
1,65536,3,1000,1500,1.132000,3.163628
2,65536,3,1000,1500,1.047000,0.000270
1,65536,4,1000,1500,1.111000,3.151610
2,65536,4,1000,1500,1.047000,0.000000
1,65536,5,1000,1500,1.130000,6.525465
2,65536,5,1000,1500,1.057000,9.275723
1,65536,6,1000,1500,1.114000,6.843848
2,65536,6,1000,1500,1.056000,1.784788
1,262144,1,10,15,4.483000,0.523604
2,262144,1,10,15,1.843000,0.785171
1,262144,2,10,15,4.462000,0.629020
2,262144,2,10,15,1.831000,0.785086
1,262144,3,10,15,4.464000,1.047206
2,262144,3,10,15,1.809000,1.570680
1,262144,4,10,15,4.468000,1.258048
