func,samples,boundsType,a,b,time,result
1,256,1,10,15,1.256000,0.523599
2,256,1,10,15,0.435000,0.785398
1,256,2,10,15,1.203000,0.629015
2,256,2,10,15,0.558000,0.785398
1,256,3,10,15,1.352000,1.047198
2,256,3,10,15,0.434000,1.570796
1,256,4,10,15,1.124000,1.258030
2,256,4,10,15,0.784000,1.570796
1,256,5,10,15,1.628000,2.094395
2,256,5,10,15,0.809000,3.141593
1,256,6,10,15,1.607000,2.516059
2,256,6,10,15,0.802000,3.141593
1,256,2,10,150,1.641000,0.783186
2,256,2,10,150,1.246000,0.785002
1,256,4,10,150,1.667000,1.566372
2,256,4,10,150,1.310000,1.570004
1,256,6,10,150,1.614000,3.132743
2,256,6,10,150,1.014000,2.799002
1,256,2,10,1500,1.085000,0.780657
2,256,2,10,1500,0.855000,1.730912
1,256,4,10,1500,1.086000,1.561314
2,256,4,10,1500,0.939000,3.461824
1,256,6,10,1500,1.215000,2.939004
2,256,6,10,1500,1.164000,13.847296
1,256,1,100,15,1.228000,1.429960
2,256,1,100,15,1.328000,0.785398
1,256,2,100,15,1.282000,0.975391
2,256,2,100,15,0.818000,0.785398
1,256,3,100,15,1.111000,2.859921
2,256,3,100,15,0.846000,1.552416
1,256,4,100,15,1.085000,1.950781
2,256,4,100,15,0.799000,1.552416
1,256,5,100,15,1.121000,5.719842
2,256,5,100,15,0.853000,3.068503
1,256,6,100,15,1.087000,3.901562
2,256,6,100,15,0.792000,3.104833
1,256,2,100,150,1.090000,1.451003
2,256,2,100,150,0.873000,0.785002
1,256,4,100,150,1.088000,2.902006
2,256,4,100,150,0.862000,1.551633
1,256,6,100,150,1.089000,5.804011
2,256,6,100,150,0.868000,2.766251
1,256,2,100,1500,1.471000,1.466060
2,256,2,100,1500,1.040000,1.730912
1,256,4,100,1500,1.117000,2.932120
2,256,4,100,1500,0.872000,3.421317
1,256,6,100,1500,1.132000,5.654564
2,256,6,100,1500,0.875000,13.685267
1,256,1,1000,15,1.109000,1.555990
2,256,1,1000,15,0.847000,1.695424
1,256,2,1000,15,1.152000,0.982382
2,256,2,1000,15,0.864000,1.153942
1,256,3,1000,15,1.115000,3.077218
2,256,3,1000,15,0.846000,6.781690
1,256,4,1000,15,1.085000,1.930141
2,256,4,1000,15,0.839000,4.615765
1,256,5,1000,15,1.116000,6.092117
2,256,5,1000,15,0.846000,27.126736
1,256,6,1000,15,1.085000,3.860283
2,256,6,1000,15,0.849000,9.231530
1,256,2,1000,150,1.147000,1.503146
2,256,2,1000,150,0.864000,1.153360
1,256,4,1000,150,1.226000,2.971419
2,256,4,1000,150,1.064000,4.613437
1,256,6,1000,150,1.144000,5.942839
2,256,6,1000,150,0.846000,8.224833
1,256,2,1000,1500,1.090000,1.553637
2,256,2,1000,1500,0.858000,2.543134
1,256,4,1000,1500,1.108000,3.073746
2,256,4,1000,1500,0.846000,10.172526
1,256,6,1000,1500,1.332000,5.946959
2,256,6,1000,1500,1.186000,40.690104
1,512,1,10,15,4.623000,0.523599
2,512,1,10,15,1.713000,0.785398
1,512,2,10,15,4.350000,0.629015
2,512,2,10,15,2.014000,0.785398
1,512,3,10,15,4.576000,1.047198
2,512,3,10,15,1.726000,1.570796
1,512,4,10,15,4.934000,1.258030
2,512,4,10,15,1.736000,1.570796
1,512,5,10,15,4.348000,2.094395
2,512,5,10,15,1.712000,3.141593
1,512,6,10,15,4.364000,2.516059
2,512,6,10,15,1.727000,3.141593
1,512,2,10,150,4.351000,0.783186
2,512,2,10,150,3.261000,0.785398
1,512,4,10,150,4.350000,1.566372
2,512,4,10,150,3.338000,1.570796
1,512,6,10,150,4.350000,3.132743
2,512,6,10,150,3.309000,3.140008
1,512,2,10,1500,4.360000,0.785353
2,512,2,10,1500,3.403000,0.866104
1,512,4,10,1500,4.354000,1.570706
2,512,4,10,1500,3.483000,1.732208
1,512,6,10,1500,4.429000,3.122629
