func,samples,boundsType,a,b,time,result
1,1024,1,100,150,17.935600,1.429960
2,1024,1,100,150,13.945367,0.785398
1,1024,2,100,150,18.686933,1.451003
2,1024,2,100,150,14.512767,0.785398
1,1024,3,100,150,18.766967,2.859921
2,1024,3,100,150,14.481333,1.570796
1,1024,4,100,150,17.854033,2.902006
2,1024,4,100,150,13.868967,1.570796
1,1024,5,100,150,19.930433,5.719842
2,1024,5,100,150,15.071433,3.141593
1,1024,6,100,150,18.384867,5.804011
2,1024,6,100,150,14.494167,3.141593
1,1056,1,100,150,19.670067,1.429960
2,1056,1,100,150,15.254333,0.785398
1,1056,2,100,150,19.262367,1.451003
2,1056,2,100,150,14.477000,0.785398
1,1056,3,100,150,18.948567,2.859921
2,1056,3,100,150,14.751933,1.570796
1,1056,4,100,150,21.847333,2.902006
2,1056,4,100,150,16.402467,1.570796
1,1056,5,100,150,19.644033,5.719842
2,1056,5,100,150,15.107067,3.141593
1,1056,6,100,150,19.044967,5.804011
2,1056,6,100,150,14.491600,3.141593
1,1088,1,100,150,20.809200,1.429960
2,1088,1,100,150,16.220900,0.785398
1,1088,2,100,150,20.692667,1.451003
2,1088,2,100,150,16.408133,0.785398
1,1088,3,100,150,21.094033,2.859921
2,1088,3,100,150,16.303867,1.570796
1,1088,4,100,150,20.343200,2.902006
2,1088,4,100,150,15.952767,1.570796
1,1088,5,100,150,20.373533,5.719842
2,1088,5,100,150,15.817433,3.141593
1,1088,6,100,150,20.321733,5.804011
2,1088,6,100,150,15.802467,3.141593
1,1120,1,100,150,22.107300,1.429960
2,1120,1,100,150,17.032400,0.785398
1,1120,2,100,150,23.336300,1.451003
2,1120,2,100,150,18.285133,0.785398
1,1120,3,100,150,21.740733,2.859921
2,1120,3,100,150,16.598867,1.570796
1,1120,4,100,150,21.901300,2.902006
2,1120,4,100,150,17.355567,1.570796
1,1120,5,100,150,22.051833,5.719842
2,1120,5,100,150,17.230467,3.141593
1,1120,6,100,150,22.164700,5.804011
2,1120,6,100,150,17.012533,3.141593
1,1152,1,100,150,23.212567,1.429960
2,1152,1,100,150,18.310000,0.785398
1,1152,2,100,150,22.413133,1.451003
2,1152,2,100,150,17.489100,0.785398
1,1152,3,100,150,23.643033,2.859921
2,1152,3,100,150,18.453767,1.570796
1,1152,4,100,150,25.386600,2.902006
2,1152,4,100,150,18.675033,1.570796
1,1152,5,100,150,23.562667,5.719842
2,1152,5,100,150,18.768600,3.141593
1,1152,6,100,150,22.500133,5.804011
2,1152,6,100,150,17.313467,3.141593
1,1184,1,100,150,25.685500,1.429960
2,1184,1,100,150,20.290267,0.785398
1,1184,2,100,150,24.196800,1.451003
2,1184,2,100,150,18.702567,0.785398
1,1184,3,100,150,25.041633,2.859921
2,1184,3,100,150,19.329567,1.570796
1,1184,4,100,150,24.395700,2.902006
2,1184,4,100,150,18.695800,1.570796
1,1184,5,100,150,25.562333,5.719842
2,1184,5,100,150,19.795433,3.141593
1,1184,6,100,150,25.115933,5.804011
2,1184,6,100,150,18.947167,3.141593
1,1216,1,100,150,26.403033,1.429960
2,1216,1,100,150,20.387500,0.785398
1,1216,2,100,150,25.470833,1.451003
2,1216,2,100,150,19.864767,0.785398
1,1216,3,100,150,26.567967,2.859921
2,1216,3,100,150,20.775233,1.570796
1,1216,4,100,150,25.266633,2.902006
2,1216,4,100,150,19.288133,1.570796
1,1216,5,100,150,26.577600,5.719842
2,1216,5,100,150,20.246567,3.141593
1,1216,6,100,150,25.994500,5.804011
2,1216,6,100,150,19.643067,3.141593
1,1248,1,100,150,28.797133,1.429960
2,1248,1,100,150,22.200433,0.785398
1,1248,2,100,150,26.423233,1.451003
2,1248,2,100,150,20.343700,0.785398
1,1248,3,100,150,27.821933,2.859921
2,1248,3,100,150,22.003900,1.570796
1,1248,4,100,150,27.927300,2.902006
2,1248,4,100,150,21.894633,1.570796
1,1248,5,100,150,26.634933,5.719842
2,1248,5,100,150,20.496700,3.141593
1,1248,6,100,150,27.032633,5.804011
2,1248,6,100,150,21.247567,3.141593
1,1280,1,100,150,28.843833,1.429960
2,1280,1,100,150,22.242867,0.785398
1,1280,2,100,150,30.186300,1.451003
2,1280,2,100,150,23.529467,0.785398
1,1280,3,100,150,28.193433,2.859921
2,1280,3,100,150,21.353533,1.570796
1,1280,4,100,150,28.743900,2.902006
2,1280,4,100,150,22.806167,1.570796
1,1280,5,100,150,29.061067,5.719842
2,1280,5,100,150,22.988833,3.141593
1,1280,6,100,150,28.306767,5.804011
2,1280,6,100,150,22.006100,3.141593
1,1312,1,100,150,29.754467,1.429960
2,1312,1,100,150,23.321267,0.785398
1,1312,2,100,150,32.110333,1.451003
2,1312,2,100,150,25.538867,0.785398
1,1312,3,100,150,29.944900,2.859921
2,1312,3,100,150,23.072133,1.570796
1,1312,4,100,150,29.486967,2.902006
2,1312,4,100,150,22.715000,1.570796
1,1312,5,100,150,31.538000,5.719842
2,1312,5,100,150,25.087533,3.141593
1,1312,6,100,150,29.689900,5.804011
2,1312,6,100,150,23.299767,3.141593
1,1344,1,100,150,30.711733,1.429960
2,1344,1,100,150,23.632333,0.785398
1,1344,2,100,150,32.699500,1.451003
2,1344,2,100,150,25.987133,0.785398
1,1344,3,100,150,32.546733,2.859921
2,1344,3,100,150,25.107700,1.570796
1,1344,4,100,150,30.816400,2.902006
2,1344,4,100,150,23.566067,1.570796
1,1344,5,100,150,33.050967,5.719842
2,1344,5,100,150,25.128500,3.141593
1,1344,6,100,150,31.450267,5.804011
2,1344,6,100,150,24.585700,3.141593
1,1376,1,100,150,34.282000,1.429960
2,1376,1,100,150,26.147633,0.785398
