func,samples,boundsType,a,b,time,result
1,1024,1,100,150,17.091167,0.785398
2,1024,1,100,150,14.405900,0.785398
1,1024,2,100,150,16.669167,0.785398
2,1024,2,100,150,14.443067,0.785398
1,1024,3,100,150,16.768333,1.570796
2,1024,3,100,150,14.096733,1.570796
1,1024,4,100,150,17.400333,1.570796
2,1024,4,100,150,15.044967,1.570796
1,1024,5,100,150,18.042900,3.141593
2,1024,5,100,150,14.779800,3.141593
1,1024,6,100,150,17.986600,3.141593
2,1024,6,100,150,15.237000,3.141593
1,1056,1,100,150,18.103967,0.785398
2,1056,1,100,150,15.722100,0.785398
1,1056,2,100,150,17.367600,0.785398
2,1056,2,100,150,14.647367,0.785398
1,1056,3,100,150,18.862100,1.570796
2,1056,3,100,150,16.051567,1.570796
1,1056,4,100,150,17.693300,1.570796
2,1056,4,100,150,14.966733,1.570796
1,1056,5,100,150,18.537333,3.141593
2,1056,5,100,150,16.027600,3.141593
1,1056,6,100,150,17.972900,3.141593
2,1056,6,100,150,15.060800,3.141593
1,1088,1,100,150,18.404500,0.785398
2,1088,1,100,150,15.406367,0.785398
1,1088,2,100,150,20.252433,0.785398
2,1088,2,100,150,17.155900,0.785398
1,1088,3,100,150,18.335867,1.570796
2,1088,3,100,150,15.580700,1.570796
1,1088,4,100,150,20.867700,1.570796
2,1088,4,100,150,17.851800,1.570796
1,1088,5,100,150,19.179233,3.141593
2,1088,5,100,150,16.470867,3.141593
1,1088,6,100,150,19.539200,3.141593
2,1088,6,100,150,16.503867,3.141593
1,1120,1,100,150,19.935167,0.785398
2,1120,1,100,150,17.070000,0.785398
1,1120,2,100,150,20.080967,0.785398
2,1120,2,100,150,17.212567,0.785398
1,1120,3,100,150,20.863267,1.570796
2,1120,3,100,150,17.862933,1.570796
1,1120,4,100,150,19.394667,1.570796
2,1120,4,100,150,16.444000,1.570796
1,1120,5,100,150,20.108867,3.141593
2,1120,5,100,150,17.110233,3.141593
1,1120,6,100,150,20.130300,3.141593
2,1120,6,100,150,16.838167,3.141593
1,1152,1,100,150,22.779433,0.785398
2,1152,1,100,150,18.933633,0.785398
1,1152,2,100,150,21.656600,0.785398
2,1152,2,100,150,18.667000,0.785398
1,1152,3,100,150,21.192433,1.570796
